Date,Open,High,Low,Close,Volume
09/12/2023,"4.9000","4.9100","4.7800","4.7900","3,795,405"
09/11/2023,"4.9800","5.0150","4.9100","4.9200","3,895,091"
09/08/2023,"4.9700","4.9900","4.8500","4.9200","6,190,641"
09/07/2023,"5.0000","5.0700","4.9100","4.9400","5,372,015"
09/06/2023,"5.1000","5.2000","5.0300","5.0500","4,400,822"
09/05/2023,"5.1100","5.2800","5.1100","5.1500","9,039,760"
09/01/2023,"5.1000","5.2950","5.1000","5.1600","5,897,799"
08/31/2023,"5.2400","5.2600","5.0300","5.0900","5,898,164"
08/30/2023,"5.3600","5.4100","5.2300","5.2500","4,744,295"
08/29/2023,"5.4200","5.5250","5.3600","5.4100","7,483,960"
08/28/2023,"5.4700","5.6250","5.3450","5.4100","6,339,484"
08/25/2023,"5.1200","5.4200","5.0000","5.4200","9,064,639"
08/24/2023,"5.2500","5.4300","4.9900","5.1900","22,644,180"
08/23/2023,"6.5800","6.7699","6.3350","6.5400","8,741,688"
08/22/2023,"6.7200","6.7200","6.4600","6.6700","7,313,462"
08/21/2023,"6.8500","6.8650","6.6600","6.7000","4,781,293"
08/18/2023,"6.6000","6.8890","6.5800","6.8500","2,247,822"
08/17/2023,"6.9400","6.9700","6.6800","6.7000","3,087,557"
08/16/2023,"7.0000","7.0100","6.8200","6.8400","2,235,208"
08/15/2023,"7.0800","7.0900","6.9050","7.0300","2,359,303"
08/14/2023,"7.1100","7.1600","7.0110","7.1400","3,250,770"
08/11/2023,"7.1200","7.2650","7.1200","7.1700","2,418,320"
08/10/2023,"7.3100","7.4150","7.1600","7.2000","2,678,918"
08/09/2023,"7.3200","7.4950","7.2125","7.2700","2,469,961"
08/08/2023,"7.4000","7.4000","7.1700","7.2900","4,179,703"
08/07/2023,"7.6000","7.6581","7.4100","7.4700","1,851,770"
08/04/2023,"7.6600","7.8000","7.5200","7.6000","1,434,231"
08/03/2023,"7.6000","7.6877","7.5600","7.6400","1,656,111"
08/02/2023,"7.9300","7.9400","7.6000","7.6600","1,876,295"
08/01/2023,"8.1300","8.1450","7.9050","7.9900","2,025,734"
07/31/2023,"8.3400","8.4500","8.1350","8.1600","1,659,799"
07/28/2023,"8.1300","8.4150","8.1200","8.2900","2,884,308"
07/27/2023,"8.1100","8.1700","7.7850","8.0700","4,500,690"
07/26/2023,"8.0000","8.1350","7.9300","8.0500","1,787,475"
07/25/2023,"8.2200","8.2200","7.9800","8.0000","1,931,606"
07/24/2023,"8.3800","8.4300","8.2100","8.2200","2,378,761"
07/21/2023,"8.4500","8.4850","8.2750","8.3200","1,904,156"
07/20/2023,"8.7100","8.7650","8.3200","8.3800","2,430,835"
07/19/2023,"8.4400","8.7200","8.3100","8.7100","3,642,451"
07/18/2023,"8.2900","8.4900","8.1900","8.2900","7,090,983"
07/17/2023,"8.6800","8.7200","8.2600","8.3000","3,170,626"
07/14/2023,"9.2100","9.2350","8.7700","8.7800","4,381,087"
07/13/2023,"9.5100","9.5500","9.2300","9.2600","3,378,607"
07/12/2023,"9.6500","9.7400","9.4650","9.4900","2,122,881"
07/11/2023,"9.3100","9.5950","9.3100","9.4700","1,173,954"
07/10/2023,"9.0800","9.3000","9.0600","9.2600","2,702,892"
07/07/2023,"8.8100","9.2700","8.8100","9.1000","1,865,200"
07/06/2023,"8.9400","8.9850","8.7200","8.7600","2,332,059"
07/05/2023,"8.7500","9.0750","8.6300","9.0600","2,132,901"
07/03/2023,"8.9000","9.0200","8.8350","8.8600","1,188,771"
06/30/2023,"8.9100","8.9650","8.7000","8.9000","1,797,300"
06/29/2023,"8.8100","9.0200","8.6350","8.7900","2,525,723"
06/28/2023,"8.8500","8.9050","8.6700","8.7600","1,685,606"
06/27/2023,"8.6500","8.9800","8.5600","8.9000","1,644,965"
06/26/2023,"8.6900","8.8950","8.5900","8.6500","1,790,904"
06/23/2023,"8.5800","8.8100","8.5450","8.7600","2,005,782"
06/22/2023,"8.6300","8.6950","8.3400","8.6800","1,818,121"
06/21/2023,"8.7400","8.8200","8.5600","8.6400","1,216,202"
06/20/2023,"8.5200","8.8400","8.4650","8.7900","1,978,142"
06/16/2023,"8.9100","8.9100","8.5050","8.6100","3,984,532"
06/15/2023,"8.5000","8.9450","8.4700","8.8700","1,712,716"
06/14/2023,"8.9500","9.0401","8.5450","8.5700","1,851,078"
