Date,Open,High,Low,Close,Volume
09/15/2023,"336.92","337.40","329.65","330.22","37,679,793"
09/14/2023,"339.15","340.86","336.57","338.70","20,267,051"
09/13/2023,"331.31","336.85","331.17","336.06","16,544,410"
09/12/2023,"335.82","336.79","331.48","331.77","17,565,480"
09/11/2023,"337.24","338.42","335.43","337.94","16,583,320"
09/08/2023,"330.09","336.16","329.46","334.27","19,548,170"
09/07/2023,"331.29","333.08","329.03","329.91","18,381,000"
09/06/2023,"333.38","334.46","330.18","332.88","17,535,770"
09/05/2023,"329.00","334.85","328.66","333.55","18,553,859"
09/01/2023,"331.31","331.99","326.78","328.66","14,942,020"
08/31/2023,"329.20","330.91","326.78","327.76","26,410,949"
08/30/2023,"328.67","329.81","326.45","328.79","15,222,110"
08/29/2023,"321.88","328.98","321.88","328.41","19,284,590"
08/28/2023,"325.66","326.15","321.72","323.70","14,808,480"
08/25/2023,"321.47","325.36","318.80","322.98","21,684,100"
08/24/2023,"332.85","332.98","319.96","319.97","23,281,430"
08/23/2023,"323.82","329.20","323.46","327.00","21,166,381"
08/22/2023,"325.50","326.08","321.46","322.46","16,102,020"
08/21/2023,"317.93","322.77","317.04","321.88","24,039,961"
08/18/2023,"314.49","318.38","311.55","316.48","24,755,010"
08/17/2023,"320.54","321.87","316.21","316.88","21,257,160"
08/16/2023,"320.80","324.42","319.80","320.40","20,698,859"
08/15/2023,"323.00","325.09","320.90","321.86","16,966,289"
08/14/2023,"321.39","324.06","320.08","324.04","18,836,141"
08/11/2023,"320.26","322.41","319.21","321.01","24,355,490"
08/10/2023,"326.02","328.26","321.18","322.93","20,113,730"
08/09/2023,"326.47","327.11","321.05","322.23","22,373,270"
08/08/2023,"326.96","328.75","323.00","326.05","22,327,570"
08/07/2023,"328.37","331.11","327.52","330.11","17,741,529"
08/04/2023,"331.88","335.14","327.24","327.78","23,741,480"
08/03/2023,"326.00","329.88","325.95","326.66","18,360,350"
08/02/2023,"333.63","333.63","326.36","327.50","27,761,260"
08/01/2023,"335.19","338.54","333.70","336.34","18,381,250"
07/31/2023,"336.92","337.70","333.36","335.92","25,446,020"
07/28/2023,"333.67","340.01","333.17","338.37","28,484,869"
07/27/2023,"340.48","341.33","329.05","330.72","39,635,262"
07/26/2023,"341.44","344.67","333.11","337.77","58,383,699"
07/25/2023,"347.11","351.89","345.07","350.98","41,637,738"
07/24/2023,"345.85","346.92","342.31","345.11","26,719,211"
07/21/2023,"349.15","350.30","339.83","343.77","69,405,375"
07/20/2023,"353.57","357.97","345.37","346.87","33,778,398"
07/19/2023,"361.75","362.46","352.44","355.08","39,732,898"
07/18/2023,"345.83","366.78","342.17","359.49","64,872,711"
