Date,Open,High,Low,Close,Volume
09/05/2023,"23.74","24.19","23.36","23.95","1,320,172"
09/01/2023,"22.72","24.39","22.70","23.77","4,313,737"
08/31/2023,"25.71","26.18","25.48","25.76","1,995,211"
08/30/2023,"24.96","25.67","24.79","25.65","879,367"
08/29/2023,"24.42","25.49","24.24","25.13","1,232,264"
08/28/2023,"24.43","24.96","24.32","24.49","1,038,237"
08/25/2023,"24.18","24.44","23.77","24.13","1,020,997"
08/24/2023,"25.14","25.17","24.06","24.17","1,122,385"
08/23/2023,"24.16","24.93","23.87","24.92","1,476,370"
08/22/2023,"24.13","24.27","23.60","24.16","915,409"
08/21/2023,"23.63","24.01","23.63","23.86","628,772"
08/18/2023,"23.11","24.01","23.05","23.68","1,007,686"
08/17/2023,"23.84","24.02","23.16","23.41","950,809"
08/16/2023,"23.89","24.40","23.71","23.92","868,759"
08/15/2023,"24.02","24.32","23.82","23.98","1,089,287"
08/14/2023,"23.79","24.34","23.60","24.23","534,724"
08/11/2023,"23.67","24.11","23.64","23.98","753,104"
08/10/2023,"24.09","24.36","23.67","24.03","822,251"
08/09/2023,"24.23","24.23","23.45","23.63","714,181"
08/08/2023,"24.20","24.20","23.60","24.06","1,223,029"
08/07/2023,"24.73","24.88","24.17","24.66","775,119"
08/04/2023,"24.92","25.64","24.34","24.96","1,213,978"
08/03/2023,"24.17","24.52","23.93","24.42","1,019,512"
08/02/2023,"24.65","24.73","23.95","24.17","1,773,327"
08/01/2023,"25.54","25.74","25.22","25.27","1,230,976"
07/31/2023,"25.00","25.95","25.00","25.92","1,116,483"
07/28/2023,"24.86","25.61","24.46","24.87","863,546"
07/27/2023,"25.63","25.76","24.50","24.68","1,103,419"
07/26/2023,"24.15","25.19","24.08","25.13","1,198,550"
07/25/2023,"23.95","24.57","23.92","24.42","644,385"
07/24/2023,"24.32","24.49","23.76","23.85","905,205"
07/21/2023,"24.43","24.66","24.09","24.22","803,645"
07/20/2023,"24.35","24.62","23.79","24.12","1,781,738"
07/19/2023,"24.37","24.92","24.07","24.78","1,953,104"
07/18/2023,"24.11","24.31","23.89","24.20","995,808"
07/17/2023,"24.00","24.61","23.73","24.34","818,688"
07/14/2023,"24.83","25.13","24.01","24.11","1,047,664"
07/13/2023,"24.40","24.96","24.25","24.70","1,260,408"
07/12/2023,"24.69","24.71","24.00","24.13","1,863,750"
07/11/2023,"22.89","24.12","22.85","24.07","1,842,093"
07/10/2023,"21.71","22.60","21.63","22.58","1,134,479"
07/07/2023,"21.89","22.33","21.86","21.93","803,043"
07/06/2023,"21.91","22.03","21.66","21.93","990,875"
07/05/2023,"22.34","22.53","21.93","22.24","1,267,484"
07/03/2023,"22.31","22.73","22.17","22.51","706,816"
06/30/2023,"22.38","22.52","22.03","22.48","1,558,117"
06/29/2023,"21.99","22.20","21.83","22.02","829,533"
06/28/2023,"21.88","22.37","21.85","22.07","969,663"
06/27/2023,"21.69","22.09","21.47","22.03","1,414,110"
06/26/2023,"21.25","21.66","21.17","21.37","1,101,208"
06/23/2023,"21.50","21.78","21.31","21.39","1,652,579"
06/22/2023,"21.69","22.15","21.50","21.80","1,698,933"
06/21/2023,"22.02","22.25","21.59","21.59","2,169,650"
06/20/2023,"22.25","22.55","21.84","22.07","2,172,053"
06/16/2023,"23.21","23.21","22.27","22.40","2,515,385"
06/15/2023,"22.58","23.07","22.26","22.91","1,920,456"
06/14/2023,"22.84","23.00","22.36","22.75","1,306,993"
06/13/2023,"22.56","22.90","22.25","22.81","2,422,751"
06/12/2023,"22.29","22.40","22.00","22.20","1,416,275"
06/09/2023,"22.53","22.78","22.02","22.10","1,803,149"
06/08/2023,"22.25","22.54","21.99","22.41","1,872,401"
06/07/2023,"23.00","23.29","22.23","22.42","2,472,343"
06/06/2023,"22.10","23.25","21.96","22.92","2,786,996"
06/05/2023,"23.06","23.65","22.15","22.22","3,134,678"
06/02/2023,"23.65","25.20","22.65","23.00","10,881,220"
06/01/2023,"26.94","28.27","26.93","27.75","3,396,284"
05/31/2023,"26.60","27.22","26.37","27.21","2,678,770"
05/30/2023,"27.18","27.62","26.74","26.99","2,147,562"
05/26/2023,"26.43","27.17","26.36","26.64","1,311,567"
05/25/2023,"27.97","28.13","26.43","26.48","1,377,548"
05/24/2023,"27.76","28.13","27.58","27.64","1,148,991"
05/23/2023,"28.71","29.09","28.23","28.25","1,019,566"
05/22/2023,"28.68","29.12","28.40","28.93","1,430,686"
05/19/2023,"29.40","29.60","28.36","28.71","1,350,686"
05/18/2023,"29.11","29.74","28.98","29.39","1,746,342"
05/17/2023,"29.21","29.41","28.66","28.95","1,771,206"
05/16/2023,"29.12","29.35","28.80","28.99","702,626"
05/15/2023,"28.91","29.59","28.91","29.39","1,435,262"
05/12/2023,"29.48","29.60","28.77","28.93","691,596"
05/11/2023,"29.62","29.82","29.31","29.64","638,970"
05/10/2023,"29.69","29.97","29.49","29.63","764,512"
05/09/2023,"28.84","29.27","28.67","29.10","728,006"
05/08/2023,"28.69","29.29","28.48","29.13","1,195,108"
05/05/2023,"28.43","29.02","28.18","28.70","1,279,242"
05/04/2023,"28.22","28.72","27.92","28.01","817,055"
05/03/2023,"29.08","29.13","28.10","28.23","1,198,232"
05/02/2023,"29.71","29.82","28.88","29.19","1,008,709"
05/01/2023,"29.85","30.41","29.69","29.94","774,891"
04/28/2023,"30.52","30.54","29.57","30.06","1,475,365"
04/27/2023,"31.60","31.71","30.75","31.00","986,569"
04/26/2023,"31.58","32.25","31.12","31.30","1,162,722"
04/25/2023,"32.10","32.46","30.91","30.95","1,499,601"
04/24/2023,"33.78","34.22","32.39","32.56","1,087,910"
04/21/2023,"34.04","34.28","33.44","33.96","782,646"
04/20/2023,"34.24","34.61","33.79","34.12","1,601,477"
04/19/2023,"34.18","35.06","33.97","34.87","1,387,232"
04/18/2023,"34.68","34.96","33.81","34.39","1,347,569"
04/17/2023,"33.93","34.28","33.35","34.12","1,161,683"
04/14/2023,"33.10","33.44","32.33","33.24","1,279,701"
04/13/2023,"32.89","34.03","32.85","33.39","1,332,545"
04/12/2023,"33.00","33.38","32.24","32.50","1,425,034"
04/11/2023,"32.07","32.59","31.34","32.20","763,895"
04/10/2023,"31.80","32.32","31.35","32.32","1,191,548"
04/06/2023,"31.58","32.42","30.97","32.20","931,563"
04/05/2023,"33.46","33.54","31.31","31.78","1,717,020"
04/04/2023,"34.27","34.49","33.45","33.84","1,249,635"
04/03/2023,"34.50","34.80","33.00","33.96","1,618,087"
03/31/2023,"33.10","35.33","32.97","34.98","3,114,053"
03/30/2023,"32.92","33.37","32.56","32.77","948,259"
03/29/2023,"32.10","32.66","31.69","32.31","796,039"
03/28/2023,"32.07","32.41","31.46","31.65","844,218"
03/27/2023,"31.73","32.59","31.70","32.23","828,114"
03/24/2023,"31.56","32.25","31.13","31.64","1,375,055"
03/23/2023,"32.29","33.40","31.49","32.02","1,509,126"
03/22/2023,"32.61","32.80","30.83","31.49","2,100,104"
03/21/2023,"31.38","32.90","31.33","32.64","1,098,914"
03/20/2023,"31.84","31.97","30.36","31.27","1,583,257"
03/17/2023,"31.95","32.59","30.94","32.07","2,929,676"
03/16/2023,"29.87","33.29","29.10","31.95","6,151,322"
03/15/2023,"27.41","28.40","27.22","27.84","2,308,611"
03/14/2023,"28.91","29.28","27.50","27.85","1,645,584"
03/13/2023,"26.59","29.38","26.55","28.39","2,239,073"
03/10/2023,"28.28","28.55","26.68","26.86","1,672,305"
03/09/2023,"29.87","30.40","28.65","28.77","812,846"
03/08/2023,"30.28","30.36","29.67","29.97","546,712"
03/07/2023,"30.62","31.06","30.06","30.19","810,273"
03/06/2023,"31.02","31.44","30.46","30.60","703,313"
03/03/2023,"30.16","31.05","29.70","30.74","1,101,905"
03/02/2023,"29.07","29.98","28.70","29.57","1,115,253"
